"app","avg_price","total_profit","yearly_profit","avg_rating","longevity_in_years","content_rating"
"Domino's Pizza USA",0,418000,38000,4.9,11,"4+"
"ASOS",0,418000,38000,4.9,11,"4+"
"The Guardian",0,418000,38000,4.9,11,"12+"
"Egg, Inc.",0,418000,38000,4.9,11,"4+"
"PewDiePie's Tuber Simulator",0,418000,38000,4.9,11,"9+"
"Geometry Dash Lite",0,418000,38000,4.8,11,"4+"
"Fernanfloo",0,380000,38000,4.7,10,"9+"
"War Robots",0,380000,38000,4.6,10,"12+"
"Shadow Fight 2",0,380000,38000,4.6,10,"12+"
"Geometry Dash World",0,380000,38000,4.6,10,"4+"
"Township",0,380000,38000,4.6,10,"4+"
"Geometry Dash Meltdown",0,380000,38000,4.6,10,"4+"
"Animal Jam - Play Wild!",0,380000,38000,4.6,10,"9+"
"Chase Mobile",0,380000,38000,4.6,10,"4+"
"Toy Blast",0,380000,38000,4.6,10,"4+"
"Choices: Stories You Play",0,380000,38000,4.6,10,"12+"
"Hill Climb Racing 2",0,380000,38000,4.6,10,"9+"
"Clash of Clans",0,380000,38000,4.6,10,"9+"
"Clash Royale",0,380000,38000,4.6,10,"9+"
"Angry Birds Blast",0,380000,38000,4.6,10,"4+"
"Zombie Catchers",0,380000,38000,4.6,10,"12+"
"Pinterest",0,380000,38000,4.6,10,"12+"
"Solitaire",0,380000,38000,4.6,10,"4+"
"Narcos: Cartel Wars",0,380000,38000,4.6,10,"12+"
"Score! Hero",0,380000,38000,4.6,10,"4+"
"Fuel Rewards® program",0,380000,38000,4.6,10,"4+"
"Fishdom",0,380000,38000,4.6,10,"4+"
"FINAL FANTASY BRAVE EXVIUS",0,380000,38000,4.6,10,"12+"
"MARVEL Future Fight",0,380000,38000,4.6,10,"9+"
"Fallout Shelter",0,380000,38000,4.6,10,"12+"
"Bible",0,380000,38000,4.6,10,"4+"
"Microsoft Excel",0,380000,38000,4.5,10,"4+"
"Microsoft Word",0,380000,38000,4.5,10,"4+"
"PicsArt Photo Studio: Collage Maker & Pic Editor",0,380000,38000,4.5,10,"12+"
"MORTAL KOMBAT X",0,380000,38000,4.5,10,"17+"
"Photo Editor by Aviary",0,380000,38000,4.5,10,"12+"
"My Horse",0,380000,38000,4.5,10,"4+"
"PES CLUB MANAGER",0,380000,38000,4.5,10,"4+"
"My Talking Angela",0,380000,38000,4.5,10,"4+"
"My Talking Tom",0,380000,38000,4.5,10,"4+"
"OK K.O.! Lakewood Plaza Turbo",0,380000,38000,4.5,10,"9+"
"Nyan Cat: Lost In Space",0,380000,38000,4.5,10,"4+"
"Angry Birds Rio",0,380000,38000,4.5,10,"4+"
"Need for Speed™ No Limits",0,380000,38000,4.5,10,"4+"
"Army of Heroes",0,380000,38000,4.5,10,"12+"
"Asphalt 8: Airborne",0,380000,38000,4.5,10,"12+"
"Wish - Shopping Made Fun",0,380000,38000,4.5,10,"12+"
"Bad Piggies HD",0,380000,38000,4.5,10,"4+"
"WhatsApp Messenger",0,380000,38000,4.5,10,"4+"
"Bejeweled Classic",0,380000,38000,4.5,10,"4+"
"Boom Beach",0,380000,38000,4.5,10,"9+"
"Bullet Force",0,380000,38000,4.5,10,"17+"
"Call of Duty®: Heroes",0,380000,38000,4.5,10,"12+"
"Candy Crush Saga",0,380000,38000,4.5,10,"4+"
"Candy Crush Soda Saga",0,380000,38000,4.5,10,"4+"
"Zombie Tsunami",0,380000,38000,4.5,10,"4+"
"Trivia Crack",0,380000,38000,4.5,10,"4+"
"ClassDojo",0,380000,38000,4.5,10,"4+"
"Cooking Fever",0,380000,38000,4.5,10,"4+"
"Trello",0,380000,38000,4.5,10,"4+"
"Traffic Racer",0,380000,38000,4.5,10,"4+"
"Design Home",0,380000,38000,4.5,10,"4+"
"Discord - Chat for Gamers",0,380000,38000,4.5,10,"4+"
"Disney Crossy Road",0,380000,38000,4.5,10,"4+"
"DoorDash - Food Delivery",0,380000,38000,4.5,10,"4+"
"The Washington Post Classic",0,380000,38000,4.5,10,"12+"
